Time (s),Color,Throttle,Steering
0.8587074279785156,red,0.0,-0.4078125
0.887486457824707,red,0.14064000606536864,-0.3546875
0.9152359962463379,red,0.14184000492095947,-0.3546875
0.9418432712554932,red,0.14136001110076904,-0.3546875
1.0744349956512451,red,0.14064000606536864,-0.3546875
1.126654863357544,red,0.14040000915527343,-0.3546875
1.1573433876037598,red,0.14112001419067383,-0.3546875
1.2024881839752197,red,0.14160000801086425,-0.3546875
1.2663819789886475,red,0.14184000492095947,-0.3546875
1.3393933773040771,red,0.14136001110076904,-0.3546875
1.4016177654266357,red,0.14112001419067383,-0.3546875
1.4667577743530273,red,0.14160000801086425,-0.3546875
1.533757209777832,red,0.14208000183105468,-0.3546875
1.6012272834777832,red,0.14208000183105468,-0.3546875
1.6668801307678223,red,0.14136001110076904,-0.3546875
1.733626365661621,red,0.14184000492095947,-0.3546875
1.8035149574279785,red,0.14232001304626465,-0.3546875
1.8660879135131836,red,0.14184000492095947,-0.3546875
1.9338691234588623,red,0.14184000492095947,-0.3546875
2.001652956008911,red,0.14184000492095947,-0.3546875
2.066282272338867,red,0.14160000801086425,-0.3546875
2.135047197341919,red,0.14112001419067383,-0.3546875
2.2015156745910645,red,0.14160000801086425,-0.3546875
2.265798807144165,red,0.14088000297546385,-0.3546875
2.3340768814086914,red,0.14064000606536864,-0.3546875
2.4007627964019775,red,0.14040000915527343,-0.3546875
2.4652230739593506,red,0.14184000492095947,-0.3546875
2.535672903060913,red,0.14232001304626465,-0.3546875
2.601313829421997,red,0.14088000297546385,-0.3546875
2.6668341159820557,red,0.14184000492095947,-0.3546875
2.7340519428253174,red,0.14160000801086425,-0.3546875
2.8026046752929688,red,0.14112001419067383,-0.3546875
2.8663861751556396,red,0.14160000801086425,-0.3546875
2.9352455139160156,red,0.14160000801086425,-0.3546875
3.029803991317749,red,0.14160000801086425,-0.3546875
3.0830843448638916,red,0.14112001419067383,-0.3546875
3.1338295936584473,red,0.14160000801086425,-0.3546875
3.2011094093322754,red,0.14208000183105468,-0.3546875
3.2664852142333984,red,0.14088000297546385,-0.3546875
3.3347620964050293,red,0.14184000492095947,-0.3546875
3.4013707637786865,red,0.14232001304626465,-0.3546875
3.465972423553467,red,0.14088000297546385,-0.3546875
3.534243583679199,red,0.14064000606536864,-0.3546875
3.6020448207855225,red,0.14136001110076904,-0.3546875
3.665595531463623,red,0.14184000492095947,-0.3546875
3.73347544670105,red,0.14184000492095947,-0.3546875
3.8017995357513428,red,0.14184000492095947,-0.3546875
3.866562604904175,red,0.14112001419067383,-0.3546875
3.9352352619171143,red,0.14208000183105468,-0.3546875
4.00098729133606,red,0.14160000801086425,-0.3546875
4.069554328918457,red,0.14112001419067383,-0.3546875
4.1341166496276855,red,0.14088000297546385,-0.3546875
4.201182842254639,red,0.14160000801086425,-0.3546875
4.265074968338013,red,0.14208000183105468,-0.3546875
4.333347797393799,red,0.14160000801086425,-0.3546875
4.401813983917236,red,0.14160000801086425,-0.3546875
4.466006755828857,red,0.14136001110076904,-0.3546875
4.537877082824707,red,0.14112001419067383,-0.3546875
4.602227449417114,red,0.14184000492095947,-0.3546875
4.666060209274292,red,0.14184000492095947,-0.3546875
4.7339935302734375,red,0.14232001304626465,-0.3546875
4.802910804748535,red,0.14112001419067383,-0.3546875
4.865659952163696,red,0.14112001419067383,-0.3546875
4.932827472686768,red,0.14256000995635984,-0.3546875
5.001422166824341,red,0.14208000183105468,-0.3546875
5.0662994384765625,red,0.14208000183105468,-0.3546875
5.1334452629089355,red,0.14136001110076904,-0.3546875
5.201328754425049,red,0.14208000183105468,-0.3546875
5.265733957290649,red,0.14208000183105468,-0.3546875
5.333972930908203,red,0.14136001110076904,-0.3546875
5.400585889816284,red,0.14184000492095947,-0.3546875
5.465057134628296,red,0.14184000492095947,-0.3546875
5.532520532608032,red,0.14184000492095947,-0.3546875
5.601733922958374,red,0.14136001110076904,-0.3546875
5.665734767913818,red,0.14160000801086425,-0.3546875
5.733011960983276,red,0.14136001110076904,-0.3546875
5.8012778759002686,red,0.14112001419067383,-0.3546875
5.865378379821777,red,0.14184000492095947,-0.3546875
5.93296480178833,red,0.14208000183105468,-0.3546875
6.000250816345215,red,0.14160000801086425,-0.3546875
6.065100193023682,red,0.14208000183105468,-0.3546875
6.133011341094971,red,0.14136001110076904,-0.3546875
6.202669620513916,red,0.14184000492095947,-0.3546875
6.265019178390503,red,0.14160000801086425,-0.3546875
6.33298134803772,red,0.14136001110076904,-0.3546875
6.401892185211182,red,0.14184000492095947,-0.3546875
6.465543746948242,red,0.14280000686645508,-0.3546875
6.5330681800842285,red,0.14160000801086425,-0.3546875
6.600323915481567,red,0.0,-0.3546875
6.665395021438599,red,0.15,-0.3546875
6.7331085205078125,red,0.15,-0.3546875
6.80235743522644,red,0.15,-0.3546875
6.86534571647644,red,0.15,-0.3546875
6.932957649230957,red,0.15,-0.3515625
7.001962661743164,red,0.0,-0.334375
7.065958023071289,red,0.0,-0.3265625
7.132714748382568,red,0.0,-0.325
7.202907085418701,red,0.0,-0.328125
7.264451503753662,red,0.0,-0.34375
7.332678318023682,red,0.0,-0.34375
7.399760484695435,red,0.0,-0.3359375
7.466094732284546,red,0.0,-0.3328125
7.532587766647339,red,0.0,-0.3328125
7.600340843200684,red,0.0,-0.33125
7.666328430175781,red,0.0,-0.328125
7.733466386795044,red,0.0,-0.3265625
