Time (s),Min Depth (m),Throttle
0.8028674125671387,0.0,0.0
0.8242278099060059,0.0,0.0
0.9296340942382812,0.0,0.0
0.983513355255127,0.0,0.0
1.0275824069976807,0.0,0.0
1.0554754734039307,0.0,0.0
1.0885980129241943,0.0,0.0
1.132173776626587,0.0,0.0
1.196171760559082,0.0,0.0
1.2632334232330322,0.0,0.0
1.3294284343719482,0.0,0.0
1.3957633972167969,0.0,0.0
1.461653470993042,0.0,0.0
1.5292866230010986,0.0,0.0
1.5947105884552002,1.7810001,0.06
1.6623687744140625,0.0,0.0
1.7285051345825195,0.0,0.0
1.796086311340332,0.0,0.0
1.861682415008545,0.0,0.0
1.9308602809906006,0.0,0.0
1.9948532581329346,0.0,0.0
2.0632307529449463,0.0,0.0
2.128225088119507,0.0,0.0
2.1960723400115967,0.0,0.0
2.2614381313323975,0.0,0.0
2.3307745456695557,0.0,0.0
2.3947174549102783,0.0,0.0
2.462648630142212,0.0,0.0
2.5281317234039307,0.0,0.0
2.595512866973877,0.0,0.0
2.6618545055389404,0.0,0.0
2.7294178009033203,0.0,0.0
2.7946484088897705,0.0,0.0
2.862887144088745,0.0,0.0
2.9283299446105957,1.7780001,0.06
2.998093605041504,1.766,0.06
3.062009811401367,0.0,0.0
3.1291303634643555,1.7750001,0.06
3.1944801807403564,0.0,0.0
3.2622158527374268,0.0,0.0
3.328840732574463,0.0,0.0
3.3960061073303223,0.0,0.0
3.461627721786499,0.0,0.0
3.5287163257598877,0.0,0.0
3.5944435596466064,0.0,0.0
3.662451982498169,0.0,0.0
3.727705240249634,0.0,0.0
3.795576572418213,0.0,0.0
3.860975742340088,1.733,0.06
3.9301722049713135,1.7570001,0.06
3.9952611923217773,0.0,0.0
4.062667608261108,0.0,0.0
4.1284568309783936,0.0,0.0
4.195322275161743,0.0,0.0
4.261301517486572,0.0,0.0
4.330952882766724,0.0,0.0
4.394470453262329,0.0,0.0
4.462257623672485,0.0,0.0
4.527796030044556,0.0,0.0
4.595163822174072,0.0,0.0
4.661211013793945,0.0,0.0
4.728855133056641,0.0,0.0
4.794111728668213,0.0,0.0
4.862159967422485,0.0,0.0
4.928086280822754,1.7390001,0.06
4.995561599731445,0.0,0.0
5.061041831970215,0.0,0.0
5.128704786300659,0.0,0.0
5.194502592086792,0.0,0.0
5.262419939041138,0.0,0.0
5.328044891357422,0.0,0.0
5.395181894302368,0.0,0.0
5.46086049079895,0.0,0.0
5.529896974563599,0.0,0.0
5.593956232070923,0.0,0.0
5.6622185707092285,0.0,0.0
5.727375030517578,0.0,0.0
5.795600414276123,0.0,0.0
5.861379384994507,0.0,0.0
5.92898154258728,0.0,0.0
5.994550704956055,0.0,0.0
6.061691999435425,0.0,0.0
6.127228498458862,0.0,0.0
6.1956634521484375,0.0,0.0
6.261045694351196,0.0,0.0
6.328660011291504,0.0,0.0
6.393838405609131,0.0,0.0
6.463198661804199,0.0,0.0
6.52760648727417,0.0,0.0
6.596449375152588,0.0,0.0
6.660591125488281,0.0,0.0
6.728351831436157,0.0,0.0
6.793875217437744,0.0,0.0
6.861766815185547,0.0,0.0
6.9273834228515625,0.0,0.0
6.99507474899292,0.0,0.0
7.061047077178955,0.0,0.0
7.12824010848999,0.0,0.0
7.193797588348389,0.0,0.0
7.2619287967681885,0.0,0.0
7.328364610671997,0.0,0.0
7.394843339920044,0.0,0.0
7.461315155029297,0.0,0.0
7.529205322265625,0.0,0.0
7.593754053115845,0.0,0.0
7.661713600158691,0.0,0.0
7.728283882141113,0.0,0.0
7.79473090171814,1.8510001,0.06
7.86060357093811,0.0,0.0
7.928260087966919,0.0,0.0
7.994611978530884,1.96,0.06
8.062241554260254,0.0,0.0
